date,value,entered_utc,source
2026-08-21,73.4,2026-08-22T14:23:47,manual
2026-08-21,73.4,2026-08-22T15:05:12,manual
2026-08-24,73.98,2026-08-25T19:19:40,manual
2026-08-31,75.32,2026-09-01T20:14:58,manual
2026-09-22,78.56,2026-09-23T19:39:15,manual
2026-09-23,95.45,2026-09-25T20:21:14,manual
2026-09-24,104.58,2026-09-25T20:21:14,manual
